epoch,accuracy,loss,val_accuracy,val_loss
0,0.47329089045524597,1.2058606147766113,0.5129683017730713,1.0987573862075806
1,0.6592859029769897,0.8451703190803528,0.579250693321228,1.0827609300613403
2,0.7497923970222473,0.6492792963981628,0.5100864768028259,1.285378098487854
3,0.794353723526001,0.5400336980819702,0.5821325778961182,1.2141380310058594
4,0.847771942615509,0.4198264479637146,0.590778112411499,1.3026801347732544
5,0.8685303330421448,0.3580126166343689,0.5850144028663635,1.4074513912200928
6,0.8812621235847473,0.329545795917511,0.5561959743499756,1.6093567609786987
7,0.9175200462341309,0.23949618637561798,0.5619596838951111,1.7343835830688477
8,0.9277608394622803,0.2123579978942871,0.579250693321228,1.6878637075424194
9,0.9415997862815857,0.17533011734485626,0.5734870433807373,1.9686075448989868
10,0.9532244801521301,0.1537940949201584,0.579250693321228,1.9687119722366333
11,0.9540547728538513,0.14412455260753632,0.5475504398345947,1.989059567451477
12,0.9523941278457642,0.14439170062541962,0.5504322648048401,2.1701862812042236
13,0.94768887758255,0.14951035380363464,0.5648415088653564,2.2569680213928223
14,0.9537780284881592,0.13364532589912415,0.5619596838951111,2.353825807571411
15,0.9618045687675476,0.11771224439144135,0.5619596838951111,2.2484982013702393
16,0.9687240719795227,0.10394591838121414,0.5763688683509827,2.236719846725464
17,0.9676169157028198,0.10902541130781174,0.5561959743499756,2.2960422039031982
18,0.9739828109741211,0.09016173332929611,0.5648415088653564,2.407874822616577
19,0.972875714302063,0.08735498040914536,0.5561959743499756,2.4467501640319824
20,0.9761970639228821,0.07729672640562057,0.5648415088653564,2.5780274868011475
21,0.9695543646812439,0.08639009296894073,0.5417867302894592,2.5796337127685547
22,0.9701079726219177,0.09997697174549103,0.5504322648048401,2.4684970378875732
23,0.9667866230010986,0.09603855758905411,0.5648415088653564,2.600938320159912
24,0.973429262638092,0.08203313499689102,0.5734870433807373,2.512805461883545
