epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3314027786254883,0.43515849113464355,1.2810637950897217
1,0.6537503600120544,1.0009115934371948,0.6253602504730225,0.944087028503418
2,0.7888181805610657,0.596885621547699,0.6974063515663147,0.7879557609558105
3,0.844173789024353,0.42183637619018555,0.6916426420211792,0.7842563986778259
4,0.8768336772918701,0.33453771471977234,0.6829971075057983,0.8472158908843994
5,0.9017437100410461,0.2769501805305481,0.6916426420211792,0.8889811635017395
6,0.922225296497345,0.23116259276866913,0.6657060384750366,0.9239906668663025
7,0.9404926896095276,0.19255876541137695,0.6772334575653076,1.0120277404785156
8,0.9482424855232239,0.16528558731079102,0.6628242135047913,1.0829627513885498
9,0.9595903754234314,0.1434294730424881,0.6916426420211792,1.0884500741958618
10,0.9623581767082214,0.12595275044441223,0.680115282535553,1.1969382762908936
11,0.9645723700523376,0.1122136041522026,0.6743515729904175,1.2499332427978516
12,0.9690008163452148,0.10516516864299774,0.6772334575653076,1.2907646894454956
13,0.9698311686515808,0.09633729606866837,0.6657060384750366,1.326058268547058
14,0.9723221659660339,0.09076504409313202,0.680115282535553,1.4005725383758545
15,0.9745364189147949,0.08349208533763885,0.6714697480201721,1.411244511604309
16,0.9761970639228821,0.07309079170227051,0.6858789920806885,1.4796726703643799
17,0.9725989699363708,0.07671229541301727,0.6743515729904175,1.4821349382400513
18,0.977027416229248,0.06933733820915222,0.6829971075057983,1.5296742916107178
19,0.975089967250824,0.07252254337072372,0.6685879230499268,1.568593144416809
20,0.977027416229248,0.06626179814338684,0.6685879230499268,1.6476118564605713
21,0.9773041605949402,0.06061827763915062,0.6657060384750366,1.645713448524475
22,0.9781345129013062,0.06174098327755928,0.6714697480201721,1.65180504322052
23,0.9784113168716431,0.062345124781131744,0.6916426420211792,1.6974562406539917
24,0.9753667116165161,0.06310458481311798,0.6657060384750366,1.6775860786437988
